time_period,total_load,cell_barring,cell_radius
204,51.17164659225065,1,100
205,51.1915041340648,1,100
206,51.16667674623432,1,100
207,51.228874438205786,1,100
208,51.305859915429465,1,100
209,51.27587870809329,1,100
210,51.2872239682353,1,100
211,51.35223949727454,1,100
212,51.344303720413095,1,100
213,51.35800117939655,1,100
214,51.33197303760565,1,100
215,51.31982646190437,1,100
216,51.27579631396581,1,100
217,51.373824710072554,1,100
218,51.26673410139739,1,100
219,51.2146815039414,1,100
220,51.33467335165881,1,100
221,51.35521486576157,1,100
222,51.2824251306056,1,100
223,51.30750019817151,1,100
224,51.28320100136891,1,100
225,51.324193114505135,1,100
226,51.350936069513374,1,100
227,51.362706663990075,1,100
228,51.27817192209478,1,100
229,51.353777405211105,1,100
230,51.26885284004271,1,100
231,51.36577668109133,1,100
232,51.42411660122631,1,100
233,51.54140802043202,1,100
234,51.57253545391324,1,100
235,51.510176307937066,1,100
236,51.460212534550024,1,100
237,51.45009066811467,1,100
238,51.53112751238052,1,100
239,51.59866456693982,1,100
240,51.69954591981311,1,100
241,51.80782446221696,1,100
242,51.74298908980831,1,100
243,51.80480390518113,1,100
244,51.72824389462318,1,100
245,51.66674191949803,1,100
246,51.632306237530905,1,100
247,51.5616802321182,1,100
248,51.58303224931438,1,100
249,51.72316459915287,1,100
250,51.66738941716767,1,100
251,51.65743003473881,1,100
252,51.524684144507944,1,100
253,51.50582821909503,1,100
254,51.45260269011168,1,100
255,51.38970446135049,1,100
256,51.38334052826742,1,100
257,51.40946639278123,1,100
258,51.450974695781724,1,100
259,51.47603421991235,1,100
260,51.439411808453265,1,100
261,51.50257853640107,1,100
262,51.50890820782947,1,100
263,51.47410300284512,1,100
264,51.505861975033895,1,100
265,51.54898758337626,1,100
266,51.47999527752084,1,100
267,51.429228810502075,1,100
268,51.42877764752799,1,100
269,51.47005260854059,1,100
270,51.47430228520895,1,100
271,51.59046533761705,1,100
272,51.596153860942586,1,100
273,51.67510664435884,1,100
274,51.51119189779357,1,100
275,51.60683616157018,1,100
276,51.56200225245564,1,100
277,51.443405243338994,1,100
278,51.354050716231264,1,100
279,51.3680681394196,1,100
280,51.406015488635134,1,100
281,51.37644298936775,1,100
282,51.36242981504433,1,100
283,51.38181767904408,1,100
284,51.318977498497894,1,100
285,51.39273671133344,1,100
286,51.39471691498583,1,100
287,51.45199597476452,1,100
288,51.55245683971098,1,100
289,51.62247915364534,1,100
290,51.69861122992408,1,100
291,51.75244089288686,1,100
292,51.800706596764336,1,100
293,51.84474522913505,1,100
294,51.89278015346445,1,100
295,51.860309544627015,1,100
296,51.86901863636098,1,100
297,51.869293039327644,1,100
298,51.88225764623389,1,100
299,51.86029957424366,1,100
300,51.87306976528549,1,100
301,51.895551961087946,1,100
302,51.91233742786116,1,100
303,51.87592784047916,1,100
304,51.85325638665526,1,100
305,51.8555209264411,1,100
306,51.82223608163875,1,100
307,51.862607922305074,1,100
308,51.90010908860203,1,100
309,51.94106333738365,1,100
310,51.847185804944,1,100
311,51.86774048954044,1,100
312,51.810562734865016,1,100
313,51.938149505472666,1,100
314,52.146055421832735,1,100
315,52.14735721520826,1,100
316,52.16885313394599,1,100
317,52.13657477643645,1,100
318,52.1670292743125,1,100
319,52.15741930952239,1,100
320,52.09379472466021,1,100
321,52.062819498536015,1,100
322,52.04584515234631,1,100
323,51.98598881801546,1,100
324,52.04898060045745,1,100
325,52.07315094777973,1,100
326,52.13698296087675,1,100
327,52.19626715266387,1,100
328,52.11956040534906,1,100
329,52.1321867343507,1,100
330,52.15518398297675,1,100
331,52.31282966000477,1,100
332,52.27607181821948,1,100
333,52.3033935772134,1,100
334,52.219246344860295,1,100
335,52.126886907314436,1,100
336,52.074236798938855,1,100
337,52.05165305797191,1,100
338,52.05452582016391,1,100
339,52.124920174944954,1,100
340,52.111106312311726,1,100
341,52.16632732735192,1,100
342,52.22948562926792,1,100
343,52.34765612670884,1,100
344,52.425100675987096,1,100
345,52.38573629491341,1,100
346,52.40894036713011,1,100
347,52.41724527496604,1,100
348,52.33819649895064,1,100
349,52.30430954524496,1,100
350,52.36398962043766,1,100
351,52.36571848204413,1,100
352,52.35667805590459,1,100
353,52.4475976174985,1,100
354,52.464323889055976,1,100
355,52.447891029747595,1,100
356,52.58617096634564,1,100
357,52.56603566487828,1,100
358,52.491278601827936,1,100
359,52.586421690016714,1,100
360,52.64411227447864,1,100
361,52.58601322871905,1,100
362,52.54164395495184,1,100
363,52.42465262567586,1,100
364,52.42817355737408,1,100
365,52.3729157774583,1,100
366,52.41956304052124,1,100
367,52.39163289052276,1,100
368,52.347734575515375,1,100
369,52.15345951425003,1,100
370,52.188800540590094,1,100
371,52.25046220502411,1,100
372,52.25030301184546,1,100
373,52.35147176828966,1,100
374,52.25996705268365,1,100
375,52.182519108830334,1,100
376,52.20604256641227,1,100
377,52.1862925524029,1,100
378,52.235613993232306,1,100
379,52.14772129219149,1,100
380,52.21047157972757,1,100
381,52.212946599779116,1,100
382,52.215819592431316,1,100
383,52.13879872982582,1,100
384,52.1174117977051,1,100
385,52.170969687671494,1,100
386,52.09447547539741,1,100
387,52.10961392475031,1,100
388,52.134337548960104,1,100
389,52.24201862128571,1,100
390,52.276302787641,1,100
391,52.25024400348934,1,100
392,52.2777094364477,1,100
393,52.270427191627,1,100
394,52.318822656844475,1,100
395,52.32976782688457,1,100
396,52.34415972607127,1,100
397,52.314546669044155,1,100
398,52.31460218759784,1,100
399,52.34435908403651,1,100
400,52.34401320619822,1,100
401,52.39271921956566,1,100
402,52.40444730531756,1,100
